material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,L2_norm_Error,Loo_norm_Error,min_elapsed_time
Ag-aSi,exp1,100,1,461.72325138227706,0.0021228665322671676,1.1424182668779645,0.40304804029449315,3.3449416160583496
Ag-aSi,exp1,100,2,460.96875138227807,0.0021159241494182286,1.022230529231461,0.3451318064899134,3.3482298851013184
Ag-aSi,exp1,100,3,516.7674013822756,0.002134550570347149,1.4887803622844813,0.4415323574950527,3.3671860694885254
Ag-aSi,exp1,100,4,463.0893013822799,0.002059172325353976,2.3799909443285494,0.6280624556540033,3.3043649196624756
Ag-aSi,exp1,100,5,563.6439013822775,0.002140811175030014,1.1626009007127986,0.3310965396100194,3.3465094566345215
Ag-aSi,exp1,10,1,445.63938013822536,0.0020573578831319076,1.072807099806708,0.32755803238072545,1.966020107269287
Ag-aSi,exp1,10,2,445.72458013822785,0.0020485883618064455,2.0010677043863505,0.5866700529696693,1.9496116638183594
Ag-aSi,exp1,10,3,441.8914801382289,0.0020500342100662435,1.2972341738710707,0.3837181603611697,1.932007074356079
Ag-aSi,exp1,10,4,448.75248013822926,0.0020563114219694875,1.8163610637389649,0.5528384211448909,1.9416406154632568
Ag-aSi,exp1,10,5,442.4226301382259,0.0020467714598238753,1.1426341560068296,0.3568301218239043,1.993032693862915
Ag-aSi,exp1,1,1,280.777053013822,0.0012435280856090988,43.99357224500125,5.971211606146939,2.0212464332580566
Ag-aSi,exp1,1,2,280.777053013822,0.0012426556548938738,48.405375675691175,6.50123711724269,1.8077120780944824
Ag-aSi,exp1,1,3,280.777053013822,0.001242367372843712,48.544182751545065,6.610819158514211,1.773129940032959
Ag-aSi,exp1,1,4,280.777053013822,0.0012441159605056486,43.40407739998474,5.979243233195286,1.7293033599853516
Ag-aSi,exp1,1,5,280.777053013822,0.001242945222560358,48.14764981683514,6.581187168657133,1.878547191619873
Ag-aSi,exp1,20,1,457.7016602764575,0.0020572822733049305,1.9016730680748064,0.5225874601689888,2.1314663887023926
Ag-aSi,exp1,20,2,460.16751027645444,0.0020550088407020072,2.0401863595563574,0.5558883633639908,2.1370604038238525
Ag-aSi,exp1,20,3,453.0651602764551,0.002067084629885341,1.2198598350986065,0.33551339179394546,2.1228692531585693
Ag-aSi,exp1,20,4,464.41806027645566,0.0020691451357409043,1.298095889895265,0.3707735354254318,2.0728461742401123
Ag-aSi,exp1,20,5,452.76546027645475,0.0020680453255409854,1.1385867929014404,0.3306561427824697,2.124882459640503
Ag-aSi,exp1,30,1,458.508390414684,0.0020759196347645264,1.1792181389594345,0.3996358177690915,2.260667085647583
Ag-aSi,exp1,30,2,455.40054041468386,0.0020823888602009358,1.0855422776135426,0.32581230352123214,2.275027275085449
Ag-aSi,exp1,30,3,453.4277404146815,0.0020782601273953336,1.2622108590734045,0.3385624577709514,2.2567641735076904
Ag-aSi,exp1,30,4,459.52344041468103,0.0020953544499473743,1.8642782127804045,0.5505163947535152,2.2848854064941406
Ag-aSi,exp1,30,5,459.06429041468067,0.002079077757658729,1.22970367921492,0.35138990355380173,2.2806472778320312
Ag-aSi,exp1,40,1,448.15392055291125,0.0020728019791403387,1.1714105565108541,0.40428825919593336,2.482327938079834
Ag-aSi,exp1,40,2,447.7612205529132,0.0020619251252183795,1.1237586207097663,0.3704702817764165,2.443020820617676
Ag-aSi,exp1,40,3,452.08707055291165,0.002085263451906828,1.1383966476616914,0.3629839116865199,2.420100688934326
Ag-aSi,exp1,40,4,453.1324205529113,0.002089970103860524,1.192702187009763,0.355870174471697,2.3656091690063477
Ag-aSi,exp1,40,5,449.49897055291257,0.0020756300188151454,1.1550862867189151,0.3798066371848954,2.4433493614196777
Ag-aSi,exp1,50,1,470.2105506911395,0.002091559376602555,1.1021960147941794,0.3187126118878254,2.6110925674438477
Ag-aSi,exp1,50,2,453.43035069113967,0.002091365149577039,1.138246521252325,0.36288122953030566,2.541544198989868
Ag-aSi,exp1,50,3,449.2285506911406,0.0020776107777158905,1.15074733205579,0.3590972286366565,2.555846691131592
Ag-aSi,exp1,50,4,480.975450691137,0.0021071467910552017,1.2563703783993938,0.39696262032087404,2.5624008178710938
